$,'',CC,CD,DT,FW,IN,JJ,MD,NN,NNP,NNS,PDT,PRP,RB,RP,SYM,VB,VBD,VBG,VBP,VBZ,WRB,Nat
5.77E-06,5.77E-06,0.000115447,0.000519511,0.003792427,8.66E-05,0.000565689,0.005893558,8.66E-05,0.029242669,0.00733087,4.62E-05,9.81E-05,5.77E-05,8.66E-05,,,0.000219349,0.000571462,,0.003723159,0.002926576,5.77E-06,TRUE
2.84E-05,,9.48E-06,0.000497687,0.001208668,0.000270173,0.000251213,0.001279766,5.21E-05,0.008531776,0.002483695,2.37E-05,1.90E-05,2.84E-05,3.32E-05,,,9.48E-05,0.000274913,,0.001071212,0.000782079,,TRUE
8.53E-05,4.74E-06,0.00038867,0.001853291,0.008436979,0.000255953,0.001554679,0.012721826,0.000246474,0.065054793,0.015561012,4.74E-05,0.000156416,0.000127977,0.000180115,9.48E-06,,0.000620924,0.001497801,,0.00801513,0.006057561,,TRUE
1.42E-05,,4.74E-06,8.06E-05,0.001474101,3.79E-05,0.000213294,0.001668436,7.58E-05,0.00952241,0.002431556,9.48E-06,3.79E-05,5.21E-05,4.74E-05,,,0.000132717,0.000241734,,0.001298726,0.000876877,,TRUE
2.37E-05,,8.53E-05,0.000554565,0.005014788,0.000180115,0.000938495,0.006422531,0.000156416,0.039217731,0.011323563,8.53E-05,9.48E-05,0.000156416,0.000180115,,,0.000289132,0.000910056,,0.005943804,0.003005081,,TRUE
1.42E-05,4.74E-06,4.74E-06,0.000530866,0.000891097,3.32E-05,0.000118497,0.001066472,7.11E-05,0.007015016,0.002369938,9.48E-06,1.90E-05,5.69E-05,2.84E-05,,,0.000104277,0.000194335,,0.000782079,0.000658843,,TRUE
9.48E-06,,4.74E-06,0.000165896,0.000658843,1.42E-05,0.000156416,0.000891097,2.84E-05,0.00534658,0.001587858,9.48E-06,9.48E-06,2.84E-05,2.84E-05,,,4.74E-05,0.000151676,,0.000739421,0.000445548,,TRUE
9.48E-06,,9.48E-06,0.000298612,0.001602078,7.58E-05,0.000336531,0.002237221,8.06E-05,0.012532231,0.003346352,2.84E-05,2.37E-05,4.74E-05,2.84E-05,,,0.000123237,0.000312832,,0.001602078,0.001090171,,TRUE
9.48E-06,,1.42E-05,0.000270173,0.001322425,3.32E-05,0.000208555,0.001758494,5.69E-05,0.010735818,0.003109358,1.42E-05,3.32E-05,5.69E-05,4.74E-05,,,0.000104277,0.000308092,,0.001260807,0.000810519,,TRUE
4.74E-06,,4.74E-06,8.53E-05,0.001170749,3.32E-05,0.000189595,0.001469361,4.74E-05,0.00875929,0.002497914,9.48E-06,1.90E-05,7.11E-05,2.37E-05,,,6.64E-05,0.000274913,,0.001166009,0.000810519,,TRUE
4.74E-06,,9.48E-06,0.000293872,0.000729941,3.79E-05,0.000127977,0.001023813,3.32E-05,0.005545654,0.002047626,9.48E-06,1.90E-05,5.21E-05,1.42E-05,,,4.74E-05,0.000203815,,0.000677802,0.000473988,,TRUE
9.48E-06,,9.48E-06,0.000104277,0.001090171,5.69E-05,0.000189595,0.001464622,2.84E-05,0.009043683,0.002308319,1.90E-05,2.37E-05,3.32E-05,2.37E-05,,,5.69E-05,0.000251213,,0.001189709,0.000687282,,TRUE
4.74E-06,,,0.000109017,0.000407629,1.42E-05,6.16E-05,0.000502427,5.21E-05,0.0030667,0.001256067,,1.42E-05,4.27E-05,1.42E-05,,,7.11E-05,0.000109017,,0.00039341,0.000270173,,TRUE
4.74E-06,,1.42E-05,0.000208555,0.000981154,5.69E-05,0.000236994,0.00150728,0.000132717,0.009693046,0.002711209,1.42E-05,2.84E-05,3.32E-05,1.90E-05,,,0.000170636,0.000232254,,0.001189709,0.000706241,,TRUE
4.74E-06,,1.90E-05,0.000132717,0.001673176,5.21E-05,0.000270173,0.002132944,0.000213294,0.012522751,0.003104619,1.90E-05,2.84E-05,4.27E-05,6.64E-05,4.74E-06,,0.000251213,0.000260693,,0.001805893,0.000990634,4.74E-06,TRUE
9.48E-06,,1.90E-05,0.000137456,0.001483581,6.64E-05,0.000312832,0.002185083,7.58E-05,0.012489572,0.002910284,3.32E-05,2.37E-05,3.32E-05,5.69E-05,,,0.000132717,0.000255953,,0.001763234,0.000914796,,TRUE
1.90E-05,,,0.000142196,0.000957455,2.84E-05,0.000222774,0.001398263,4.74E-05,0.008351661,0.002696989,1.90E-05,1.90E-05,8.06E-05,1.90E-05,4.74E-06,,7.58E-05,0.000227514,,0.00113757,0.000663583,,TRUE
0.003090235,0.001236094,0.063040791,0.168726823,0.004944376,0.028430161,0.255871446,0.00618047,1.348578492,0.504326329,0.000618047,TRUE,0.001236094,0.00618047,,,0.008652658,0.035228677,,0.16934487,0.119901112,0.001236094,,0.004326329
,,0.095797281,0.03461063,0.001854141,0.004326329,0.043263288,0.004326329,0.233003708,0.510506799,,TRUE,0.000618047,0.001854141,,,0.005562423,0.023485785,,0.014833127,0.016687268,,,
0.000174109,1.02E-05,0.000512085,0.003011061,0.011491192,0.000225317,0.002007374,0.018138058,0.00035846,0.092031954,0.024815649,0.0001229,0.000256043,0.000307251,0.00035846,,,0.000829578,0.002376075,,0.012126178,0.008705449,,TRUE
1.02E-05,,,0.000553052,0.002867677,0.000133142,0.000471118,0.003533388,0.000184351,0.020596067,0.006052847,5.12E-05,6.15E-05,0.000501844,2.05E-05,,1.02E-05,0.000286768,0.000399426,,0.002693568,0.00174109,,TRUE
4.10E-05,1.02E-05,7.17E-05,0.000921753,0.005161819,0.000153626,0.00090127,0.006984842,0.000204834,0.036931585,0.010712823,9.22E-05,6.15E-05,0.000235559,0.000102417,,1.02E-05,0.000389185,0.001198279,,0.004127407,0.003512905,1.02E-05,TRUE
1.02E-05,,8.19E-05,0.000634986,0.004332241,0.000102417,0.000645227,0.006288406,0.000307251,0.031175748,0.010057354,5.12E-05,5.12E-05,0.000163867,0.000112659,,,0.000501844,0.000788611,,0.004240066,0.002795985,,TRUE
2.05E-05,1.02E-05,0.000143384,0.000798853,0.006196231,0.000204834,0.00090127,0.008469889,0.000327735,0.043527243,0.012668988,6.15E-05,9.22E-05,0.000163867,0.000133142,,1.02E-05,0.000583777,0.000911512,,0.004465383,0.004291274,,TRUE
6.15E-05,,1.02E-05,0.000727161,0.002693568,5.12E-05,0.000512085,0.003369521,0.000256043,0.019582138,0.006093814,3.07E-05,8.19E-05,5.12E-05,3.07E-05,,1.02E-05,0.000317493,0.000337976,,0.00270381,0.001607948,,TRUE
1.02E-05,,2.05E-05,0.000716919,0.002130274,9.22E-05,0.000245801,0.002990578,0.000286768,0.016755428,0.006216714,9.22E-05,5.12E-05,0.000102417,4.10E-05,,,0.000378943,0.000348218,,0.001884474,0.001628431,2.05E-05,TRUE
1.02E-05,,0.0001229,0.00048136,0.004137649,0.000102417,0.000491602,0.006216714,0.00041991,0.028379762,0.009739861,4.10E-05,9.22E-05,0.000174109,6.15E-05,,,0.000645227,0.000716919,,0.00366653,0.002478492,,TRUE
2.05E-05,,3.07E-05,0.000870545,0.002488734,9.22E-05,0.000337976,0.003676772,0.000276526,0.020165916,0.006923392,6.15E-05,6.15E-05,0.000112659,3.07E-05,,,0.000348218,0.000440393,1.02E-05,0.002171241,0.001730848,1.02E-05,TRUE
2.05E-05,,8.19E-05,0.000522327,0.00396354,0.000143384,0.000686194,0.00595043,0.00035846,0.028891848,0.009832036,6.15E-05,6.15E-05,0.000163867,9.22E-05,,1.02E-05,0.00054281,0.000747644,,0.004291274,0.002550184,,TRUE
3.46E-05,,6.92E-05,0.001020161,0.002887575,0.000146972,0.000371754,0.004832797,0.000138327,0.026385863,0.008109417,3.46E-05,6.92E-05,0.000121036,6.92E-05,,,0.000259363,0.000864543,,0.003380364,0.001945223,,TRUE
8.65E-06,,1.73E-05,0.000899125,0.00109797,3.46E-05,0.000268008,0.001556178,3.46E-05,0.00808348,0.00179825,1.73E-05,8.65E-06,8.65E-05,2.59E-05,,,6.92E-05,0.000155618,,0.000847252,0.000769444,,TRUE
7.78E-05,,0.00030259,0.004945188,0.009605077,0.000216136,0.001876059,0.015285126,0.000527371,0.077324757,0.018656845,0.000172909,8.65E-05,0.000164263,0.00020749,,,0.001236297,0.002273749,,0.010391811,0.007158419,,TRUE
8.65E-06,,7.78E-05,0.000198845,0.002602275,6.05E-05,0.000501435,0.004141163,0.00020749,0.023861396,0.006579175,5.19E-05,6.05E-05,0.000121036,9.51E-05,,,0.000259363,0.000432272,,0.002809766,0.001979804,,TRUE
8.65E-06,,5.19E-05,0.000216136,0.002697375,0.000103745,0.000337172,0.003907736,0.000242072,0.020299478,0.006440848,1.73E-05,3.46E-05,0.000181554,8.65E-05,,,0.000276654,0.000423626,,0.002749248,0.001858768,,TRUE
1.73E-05,,7.78E-05,0.000475499,0.004616661,0.000146972,0.000873189,0.007469655,0.000233427,0.034875679,0.00827368,0.000138327,3.46E-05,3.46E-05,0.000129682,,,0.000484144,0.000968289,,0.004720407,0.003259328,,TRUE
8.65E-06,,6.05E-05,0.001072034,0.002714666,0.000112391,0.000484144,0.003821282,0.000146972,0.022919044,0.005930767,3.46E-05,2.59E-05,6.05E-05,6.05E-05,,,0.000233427,0.000518726,,0.002697375,0.001746378,8.65E-06,TRUE
3.46E-05,,4.32E-05,0.001123906,0.002066259,6.05E-05,0.000380399,0.003034547,0.000129682,0.017818238,0.005818377,3.46E-05,1.73E-05,4.32E-05,5.19E-05,8.65E-06,,0.000198845,0.000466853,,0.002256458,0.001296815,,TRUE
,8.65E-06,,0.000146972,0.000354463,,9.51E-05,0.000561953,2.59E-05,0.003942318,0.001167134,8.65E-06,,2.59E-05,,,,3.46E-05,2.59E-05,8.65E-06,0.000510081,0.000276654,,TRUE
5.19E-05,,6.92E-05,0.001089325,0.001979804,9.51E-05,0.000268008,0.002749248,0.000129682,0.015924888,0.004806861,4.32E-05,3.46E-05,4.32E-05,4.32E-05,,,0.000164263,0.000544662,,0.002118131,0.001262233,,TRUE
2.59E-05,,0.000112391,0.000553308,0.003371719,0.000112391,0.000579244,0.004011481,0.00020749,0.026567417,0.006579175,1.73E-05,5.19E-05,0.000103745,7.78E-05,,,0.000328526,0.000657053,,0.003648373,0.001910641,8.65E-06,TRUE
2.59E-05,,6.05E-05,0.000527371,0.00318152,0.000129682,0.00060518,0.004262199,0.000181554,0.025789328,0.007832763,6.92E-05,0.000112391,0.000138327,4.32E-05,8.65E-06,,0.000198845,0.000553308,,0.003051838,0.002135422,8.65E-06,TRUE
,,1.79E-05,0.000680516,0.001862464,0.000143266,0.000573066,0.002686246,3.58E-05,0.015723496,0.005605301,0.000125358,3.58E-05,0.0002149,3.58E-05,1.79E-05,,8.95E-05,0.000429799,,0.002095272,0.001110315,,TRUE
0.000143266,,0.000250716,0.00349212,0.007073782,0.000447708,0.00116404,0.009455587,0.000393983,0.053527937,0.014917622,0.000143266,0.00010745,0.000250716,0.000196991,,,0.000895415,0.001558023,,0.006321633,0.004817335,,TRUE
,,1.79E-05,0.001235673,0.001558023,3.58E-05,0.000358166,0.001934097,1.79E-05,0.010547994,0.003205587,3.58E-05,,0.000196991,3.58E-05,,,8.95E-05,0.000340258,,0.001038682,0.001020774,,TRUE
,1.79E-05,,0.000304441,0.000823782,,0.0002149,0.00116404,5.37E-05,0.008005014,0.002453438,1.79E-05,,7.16E-05,,,,8.95E-05,1.79E-05,1.79E-05,0.001002865,0.000626791,,TRUE
3.58E-05,,7.16E-05,0.000752149,0.004351719,0.000232808,0.000787966,0.006733524,0.000179083,0.03655086,0.010225645,7.16E-05,5.37E-05,0.000340258,0.000250716,,,0.000358166,0.000895415,,0.005139685,0.002596705,,TRUE
5.37E-05,,3.58E-05,0.00105659,0.003062321,0.000179083,0.001020774,0.00381447,0.000125358,0.021866046,0.007234957,0.00010745,7.16E-05,0.000304441,5.37E-05,1.79E-05,,0.0002149,0.000555158,,0.002901146,0.001647564,,TRUE
,1.79E-05,,0.000286533,0.000734241,,0.000196991,0.00127149,5.37E-05,0.008040831,0.002399713,1.79E-05,,7.16E-05,,,,7.16E-05,7.16E-05,1.79E-05,0.000984957,0.000573066,,TRUE
5.37E-05,,7.16E-05,0.000358166,0.003205587,0.000125358,0.000447708,0.004799427,0.00010745,0.024158309,0.006966332,,5.37E-05,0.000179083,8.95E-05,1.79E-05,,0.000179083,0.000537249,,0.002704155,0.001987822,,TRUE
0.000393983,3.58E-05,0.000716332,0.007181232,0.016797994,0.001128223,0.002883238,0.024391117,0.001020774,0.129459169,0.038108883,0.000196991,0.000250716,0.000805874,0.000447708,,,0.001934097,0.003330946,1.79E-05,0.017281519,0.012983524,,TRUE
5.37E-05,,,0.001629656,0.004441261,0.000196991,0.000984957,0.005479943,0.000161175,0.03474212,0.009061605,5.37E-05,0.000125358,0.000161175,7.16E-05,1.79E-05,,0.000250716,0.00094914,,0.004244269,0.002381805,,TRUE
,,,0.00049584,0.000759254,1.55E-05,0.00021693,0.001518509,0.000201435,0.007809474,0.002804593,4.65E-05,3.10E-05,,1.55E-05,,,0.000201435,0.00015495,,0.001069154,0.00046485,,TRUE
1.55E-05,,,0.00052683,0.003269442,3.10E-05,0.00043386,0.003765282,0.00024792,0.025241334,0.007484079,6.20E-05,6.20E-05,6.20E-05,0.000108465,,,0.000418365,0.000697274,,0.003006028,0.001534004,,TRUE
7.75E-05,,4.65E-05,0.000774749,0.003827262,0.00012396,0.000604305,0.006290965,0.000294405,0.037141485,0.008801153,1.55E-05,6.20E-05,3.10E-05,6.20E-05,,,0.00049584,0.000650789,,0.004447061,0.002835583,,TRUE
4.65E-05,,7.75E-05,0.001549499,0.009901297,0.000325395,0.000883214,0.009343477,0.000991679,0.051272913,0.022281792,3.10E-05,0.00015495,0.000263415,0.000170445,1.55E-05,,0.001363559,0.001255094,,0.006895269,0.003951222,3.10E-05,TRUE
3.10E-05,1.55E-05,7.75E-05,0.001843903,0.00602755,0.00018594,0.000991679,0.007282644,0.00012396,0.037637324,0.009544912,6.20E-05,0.000201435,0.00012396,7.75E-05,6.20E-05,,0.000294405,0.000619799,,0.003951222,0.003842757,1.55E-05,TRUE
4.65E-05,,4.65E-05,0.001007174,0.002510188,4.65E-05,0.000650789,0.004261122,0.00021693,0.024683515,0.007453089,3.10E-05,9.30E-05,7.75E-05,6.20E-05,,,0.000294405,0.00052683,,0.002959543,0.001611479,,TRUE
,,3.10E-05,0.000991679,0.002913058,0.000201435,0.00034089,0.003191967,0.00021693,0.021445063,0.006383935,3.10E-05,7.75E-05,9.30E-05,3.10E-05,,,0.000294405,0.000650789,,0.002463703,0.001518509,,TRUE
1.55E-05,,9.30E-05,0.000480345,0.004725971,9.30E-05,0.000743759,0.00574864,0.00049584,0.032849373,0.010319662,7.75E-05,4.65E-05,0.000108465,9.30E-05,1.55E-05,,0.000681779,0.000759254,,0.004478051,0.002169298,,TRUE
6.20E-05,,0.000108465,0.001100144,0.003935727,0.00012396,0.000542325,0.00581062,0.00027891,0.032508484,0.009064568,3.10E-05,4.65E-05,7.75E-05,3.10E-05,,,0.000387375,0.000945194,,0.003548352,0.002789098,,TRUE
,,1.55E-05,0.00034089,0.001843903,4.65E-05,0.00037188,0.002541178,0.000356385,0.015371027,0.00559369,1.55E-05,4.65E-05,4.65E-05,3.10E-05,,,0.00052683,0.00027891,,0.002138308,0.001131134,,TRUE
,,6.20E-05,0.00043386,0.002541178,0.000108465,0.000294405,0.003548352,0.000139455,0.020267443,0.005888095,3.10E-05,3.10E-05,6.20E-05,3.10E-05,,,0.0003099,0.000573315,,0.001983358,0.001564994,,TRUE
4.81E-05,,,0.001777906,0.00413243,,0.00062467,0.004564894,0.000336361,0.028590649,0.008120705,0.000144155,4.81E-05,0.000144155,,,,0.000480515,0.00062467,,0.004612945,0.002306473,,TRUE
0.000144155,4.81E-05,9.61E-05,0.00254673,0.01431935,0.000336361,0.002354524,0.02066215,0.000480515,0.099802989,0.028542598,0.000240258,0.000192206,0.000384412,0.000432464,,,0.001153236,0.00254673,,0.014271299,0.008841478,,TRUE
,4.81E-05,,0.004180481,0.005381769,,0.000912979,0.006583057,9.61E-05,0.033780212,0.008985633,0.000144155,4.81E-05,0.000384412,,,,0.000144155,0.000912979,,0.004997357,0.0031714,,TRUE
,4.81E-05,,0.001489597,0.004324636,,0.000576618,0.004997357,0.000192206,0.026524434,0.007784345,0.000144155,9.61E-05,0.000144155,,,,0.000336361,0.00062467,,0.004516842,0.00221037,,TRUE
0.000144155,,0.000384412,0.003699966,0.026908846,0.000720773,0.006823315,0.036038633,0.000864927,0.214501946,0.047522945,0.000528567,0.00062467,0.000576618,0.001057133,,,0.00192206,0.004420739,,0.030897122,0.016818029,,TRUE
4.81E-05,4.81E-05,,0.00413243,0.005045409,,0.000816876,0.006535006,9.61E-05,0.032963337,0.008745375,0.000144155,4.81E-05,0.000384412,,,,0.000144155,0.001057133,,0.00509346,0.002979194,,TRUE
4.81E-05,,4.81E-05,0.000720773,0.011484311,0.000384412,0.00254673,0.016625823,0.000432464,0.094853683,0.026140022,0.000144155,0.000432464,0.000336361,,4.81E-05,,0.000816876,0.00192206,,0.015953102,0.007592139,,TRUE
,0.000217687,0.002122449,0.01229932,0.000544218,0.00277551,0.02122449,0.000870748,0.107646259,0.033251701,0.000598639,TRUE,0.001034014,0.000163265,0.000108844,,,0.001306122,0.00277551,,0.014040816,0.008598639,5.44E-05,0.000489796
,,0.002829932,0.006204082,0.000326531,0.000653061,0.008870748,0.000598639,0.044897959,0.017795918,0.000217687,TRUE,0.000653061,5.44E-05,,,,0.000761905,0.00185034,,0.005387755,0.003591837,5.44E-05,0.000163265
0.000163265,,0.002721088,0.018231293,0.000544218,0.00429932,0.02862585,0.001795918,0.152272109,0.042394558,0.000217687,TRUE,0.000435374,0.000598639,,,,0.002285714,0.003047619,,0.019319728,0.012027211,0.000108844,0.000653061
,,0.002068027,0.007183673,0.000435374,0.001632653,0.013986395,0.000489796,0.068244898,0.024816327,0.000272109,TRUE,0.001034014,0.000272109,,,,0.000544218,0.002394558,,0.008435374,0.004353741,5.44E-05,0.000108844
0.000435374,0.001469388,0.013115646,0.036789116,0.001251701,0.006095238,0.061714286,0.002557823,0.321251701,0.087945578,0.000707483,TRUE,0.000979592,0.000816327,,,,0.003918367,0.007891156,,0.043047619,0.026666667,0.000217687,0.000653061
5.48E-05,,,0.001241057,0.002208352,0.000109505,0.000346766,0.0032669,0.000200759,0.017374799,0.006588553,5.48E-05,1.83E-05,0.000237261,0.000109505,,,,0.000237261,0.000511024,,0.002299606,0.001679077,TRUE
1.83E-05,,5.48E-05,0.001606074,0.003595415,0.000182508,0.000529274,0.004872974,0.000200759,0.024602132,0.007884363,7.30E-05,5.48E-05,0.000182508,0.000164258,,1.83E-05,,0.000346766,0.000839539,,0.003303402,0.002901883,TRUE
0.000584027,3.65E-05,0.000273763,0.013450869,0.017557308,0.00043802,0.003376405,0.027011243,0.001022047,0.150478172,0.049405023,0.000182508,0.000146007,0.001788582,0.000620529,,1.83E-05,,0.001624325,0.004672215,,0.019929917,0.013834136,TRUE
1.83E-05,,1.83E-05,0.001149803,0.00195284,0.000109505,0.000237261,0.002518616,0.000127756,0.013651628,0.004489707,1.83E-05,1.83E-05,0.000164258,7.30E-05,,,,0.000127756,0.000365017,,0.001752081,0.001405315,TRUE
1.83E-05,,,0.001186305,0.001606074,0.000109505,0.000200759,0.00217185,0.000182508,0.010968755,0.0043437,,3.65E-05,0.000164258,0.000109505,,,,0.000182508,0.000401518,,0.001679077,0.001003796,TRUE
3.65E-05,,1.83E-05,0.001168054,0.001806833,0.000109505,0.00021901,0.002500365,0.000127756,0.013377865,0.004799971,1.83E-05,1.83E-05,0.000182508,7.30E-05,,,,0.000127756,0.000365017,,0.001806833,0.001332311,TRUE
1.83E-05,,,0.000784786,0.001569572,0.000109505,0.000419769,0.002591619,0.000401518,0.01500219,0.006022777,3.65E-05,9.13E-05,0.000383268,3.65E-05,,,,0.00043802,0.000492773,,0.002244853,0.001058549,TRUE
5.48E-05,1.83E-05,0.000109505,0.005055483,0.006460797,0.000456271,0.001259308,0.010822748,0.0010768,0.056267338,0.018451599,0.000310264,0.000127756,0.000474522,0.000310264,,,,0.001387064,0.002135348,,0.007847861,0.004161191,TRUE
5.48E-05,1.83E-05,0.000109505,0.004799971,0.006260038,0.000492773,0.001149803,0.010567236,0.001022047,0.053730472,0.021170974,0.000310264,0.000109505,0.000474522,0.000310264,,,,0.00131406,0.002080596,,0.007574098,0.003978683,TRUE
1.35E-05,1.35E-05,0.000578735,0.001722746,4.04E-05,0.00025572,0.002113055,8.08E-05,0.011816958,0.003445491,5.38E-05,TRUE,9.42E-05,4.04E-05,,,0.00013459,0.000309556,,0.001655451,0.001184388,,,1.35E-05
1.35E-05,2.69E-05,0.000538358,0.004818304,0.000215343,0.000807537,0.00538358,0.000161507,0.036123822,0.010403769,4.04E-05,TRUE,0.00013459,6.73E-05,,,0.000349933,0.000672948,,0.004683715,0.003391655,,,0.000121131
2.69E-05,0.000228802,0.002907133,0.00795424,0.000228802,0.001440108,0.01230148,0.000403769,0.068263795,0.017927322,0.000121131,TRUE,0.000161507,0.000282638,,,0.000847914,0.001991925,,0.009030956,0.005854643,,,5.38E-05
4.04E-05,1.35E-05,0.001036339,0.004791386,0.000161507,0.000807537,0.005948856,0.000403769,0.03359354,0.009461642,0.000107672,TRUE,0.000161507,0.00013459,1.35E-05,,0.000484522,0.000740242,,0.004899058,0.003230148,8.08E-05,,1.35E-05
,0.000121131,0.000578735,0.003405114,8.08E-05,0.000538358,0.004979812,0.000148048,0.02846568,0.007685061,4.04E-05,TRUE,9.42E-05,9.42E-05,,2.69E-05,0.00025572,0.000699865,,0.003149394,0.002651413,,,8.08E-05
,1.35E-05,0.000538358,0.003566622,0.00013459,0.000565276,0.005706595,0.000242261,0.029380888,0.008815612,0.000121131,TRUE,0.000269179,6.73E-05,,,0.000363392,0.000794078,,0.004549125,0.002530283,,,0.000107672
1.35E-05,0.000188425,0.00076716,0.007550471,0.000242261,0.00115747,0.011090175,0.000161507,0.056971736,0.013243607,0.000188425,TRUE,0.000121131,0.00013459,,,0.000524899,0.001480485,,0.007375505,0.005693136,,,5.38E-05
,5.38E-05,0.000457604,0.004925976,8.08E-05,0.000659489,0.00589502,0.00013459,0.035074024,0.009946164,8.08E-05,TRUE,9.42E-05,0.000121131,,,0.000376851,0.000847914,,0.004885599,0.003499327,,,1.35E-05
2.69E-05,4.04E-05,0.000888291,0.005827725,0.000121131,0.001292059,0.007065949,0.000148048,0.045841184,0.010659489,8.08E-05,TRUE,9.42E-05,0.000161507,1.35E-05,,0.000228802,0.000794078,,0.0069179,0.004185734,,,4.04E-05
1.35E-05,1.35E-05,0.000699865,0.001641992,4.04E-05,0.000215343,0.002099596,9.42E-05,0.011399731,0.003364738,4.04E-05,TRUE,9.42E-05,4.04E-05,,,0.000148048,0.000282638,,0.001507402,0.001332436,,,
3.95E-05,,5.27E-05,0.000698011,0.003503227,0.00017121,0.000737521,0.004214408,7.90E-05,0.029816937,0.007533254,7.90E-05,6.59E-05,7.90E-05,6.59E-05,,,0.00011853,0.000500461,,0.004082708,0.002357434,,TRUE
2.63E-05,1.32E-05,7.90E-05,0.000948242,0.003700777,0.00015804,0.000803372,0.00530752,0.00017121,0.028763335,0.008152245,0.00011853,5.27E-05,3.95E-05,0.00010536,,,0.000447781,0.001079942,,0.003898327,0.002541815,,TRUE
1.32E-05,,0.000381931,0.002252074,0.013025155,0.000566311,0.002291584,0.020005268,0.000671671,0.107638615,0.035137627,0.000500461,0.00021072,0.000935072,0.000434611,,,0.001224812,0.002396945,,0.015013829,0.009324378,,TRUE
2.63E-05,,0.0001317,0.00022389,0.003569077,0.00022389,0.000671671,0.005597261,9.22E-05,0.035598578,0.009851179,3.95E-05,7.90E-05,9.22E-05,0.00011853,,,0.00015804,0.000526801,,0.004438298,0.002686685,1.32E-05,TRUE
1.32E-05,,2.63E-05,0.000513631,0.002857895,6.59E-05,0.000698011,0.004082708,0.00025023,0.02618201,0.007757145,5.27E-05,6.59E-05,0.00015804,0.00015804,,,0.000342421,0.000539971,,0.004030028,0.001488213,,TRUE
2.63E-05,,9.22E-05,0.000513631,0.003055446,0.000276571,0.000645331,0.003608587,0.00015804,0.025404978,0.008679046,9.22E-05,5.27E-05,0.00011853,6.59E-05,,,0.00021072,0.000526801,,0.003252996,0.002133544,,TRUE
2.63E-05,,0.00018438,0.000856052,0.00505729,0.00018438,0.000974582,0.006690373,0.00018438,0.042670881,0.013064665,0.00022389,6.59E-05,0.00015804,0.000289741,,,0.000395101,0.000856052,,0.005570921,0.003437377,,TRUE
5.27E-05,,5.27E-05,0.000698011,0.004043198,0.00017121,0.000803372,0.00526801,0.00022389,0.032964573,0.009600948,9.22E-05,6.59E-05,0.00018438,5.27E-05,,,0.000316081,0.000698011,,0.004372448,0.002792045,,TRUE
,,2.63E-05,0.000447781,0.000908732,3.95E-05,0.00022389,0.001461873,9.22E-05,0.008468326,0.002897406,2.63E-05,2.63E-05,2.63E-05,3.95E-05,,,0.00011853,0.00018438,,0.001079942,0.000711181,,TRUE
9.22E-05,,6.59E-05,0.000777031,0.004069538,0.000368761,0.000711181,0.00504412,0.000276571,0.034110365,0.009548268,9.22E-05,5.27E-05,0.00015804,0.00011853,,,0.000395101,0.000816542,,0.004596339,0.002634005,,TRUE
1.01E-05,1.01E-05,5.53E-05,0.000296739,0.001191985,3.02E-05,0.000306798,0.002011789,0.000105619,0.010224918,0.003465307,6.54E-05,3.52E-05,5.53E-05,4.02E-05,,,0.000176032,0.000296739,,0.001438429,0.000819804,,TRUE
5.03E-06,1.01E-05,5.03E-05,0.000251474,0.001181926,3.02E-05,0.000276621,0.001961494,0.000125737,0.009882914,0.003450218,7.04E-05,3.02E-05,4.02E-05,4.53E-05,,,0.000196149,0.00028165,,0.001352928,0.000809745,,TRUE
,5.03E-06,4.02E-05,0.000211238,0.000734303,1.51E-05,0.000145855,0.001176897,7.54E-05,0.005809041,0.001710021,5.03E-05,3.52E-05,2.51E-05,3.02E-05,,,9.56E-05,0.000181061,,0.000779568,0.000457682,,TRUE
5.03E-06,5.03E-06,2.01E-05,0.000130766,0.001096425,1.51E-05,0.000266562,0.001518901,6.54E-05,0.008288571,0.002399058,3.52E-05,2.01E-05,4.02E-05,3.02E-05,,,0.000125737,0.00028165,,0.001176897,0.000658861,,TRUE
5.03E-06,1.01E-05,5.03E-05,0.000296739,0.001232221,3.02E-05,0.000291709,0.002026878,0.000115678,0.010240006,0.00314845,6.54E-05,3.52E-05,5.03E-05,4.53E-05,,,0.00018609,0.000291709,,0.001408252,0.000865069,,TRUE
5.03E-06,1.01E-05,5.03E-05,0.00018609,0.001136661,3.02E-05,0.000271592,0.001891082,0.000110648,0.009530851,0.003027743,6.54E-05,3.02E-05,4.02E-05,4.53E-05,,,0.000181061,0.000266562,,0.001307663,0.000774539,,TRUE
0.000100589,5.03E-06,0.000221297,0.00467741,0.006925584,0.000110648,0.001086366,0.010466333,0.000246444,0.061787072,0.015606454,0.000105619,8.05E-05,0.000326916,0.000226326,,,0.000407387,0.002212968,,0.007619651,0.005421772,,TRUE
5.53E-05,,5.03E-06,0.001181926,0.000925423,3.52E-05,0.000241415,0.00133784,9.56E-05,0.008791518,0.002353793,5.03E-06,1.51E-05,9.05E-05,2.51E-05,,,0.000105619,0.000513006,,0.001247309,0.000543183,,TRUE
5.03E-06,1.51E-05,6.04E-05,0.000402358,0.001297604,3.02E-05,0.000291709,0.002142555,0.000135796,0.010737924,0.003354658,6.54E-05,3.52E-05,5.03E-05,5.03E-05,,,0.000206208,0.000321886,,0.001458547,0.000905305,,TRUE
